unique_id,product_name,brand,grammage_quantity,grammage_unit,pdp_url,selling_price,regular_price,currency,country_of_origin,product_description,breadcrumb,ingredients,nutritions,storage_instructions,image_url
3674132,Marziale Pan Pinsa 250g,Marziale Coolinaria GmbH,250,g,https://shop.rewe.de/p/marziale-pan-pinsa-250g/3674132,429.00,429.00,Euro,Deutschland,"Artikelnummer 3674132,Einschränkungen für bestimmte Zielgruppen: Das Produkt ist ein geeignetes Lebensmittel für alle Verbraucher, mit Ausnahme von Personen mit Allergien und/oder Unverträglichkeit gegenüber bestimmter auf dem Etikett angegebener Zutaten oder mit besonderen medizinisch festgestellten Problemen.",Fertiggerichte & Konserven>Gekühlte Nudeln & Teigwaren>Fertigteig,"WEICHWEIZENMEHL, Sauerteig (WEICHWEIZENMEHL, Trinkwasser, Bierhefe), Trinkwasser, natives Olivenöl extra, Reismehl, SOJAMEHL, Speisesalz, Brotbackmischung (Trockenbackhefe, WEICHWEIZENMEHL, getrockneter ROGGENSAUERTEIG), Bierhefe, WEIZENMALZMEHL","{'Energie': '284 kcal', 'Fett': '4,4 g', 'Fett, davon gesättigte Fettsäuren': '0,8 g', 'Kohlenhydrate': '50,2 g', 'Kohlenhydrate, davon Zucker': '1,4 g', 'Ballaststoffe': '4,8 g', 'Eiweiß': '9,85 g', 'Salz': '1,07 g'}",Kühl und trocken lagern.,https://img.rewe-static.de/3674132/34030425_digital-image.png
3674132,Marziale Pan Pinsa 250g,Marziale Coolinaria GmbH,250,g,https://shop.rewe.de/p/marziale-pan-pinsa-250g/3674132,429.00,429.00,Euro,Deutschland,"Artikelnummer 3674132,Einschränkungen für bestimmte Zielgruppen: Das Produkt ist ein geeignetes Lebensmittel für alle Verbraucher, mit Ausnahme von Personen mit Allergien und/oder Unverträglichkeit gegenüber bestimmter auf dem Etikett angegebener Zutaten oder mit besonderen medizinisch festgestellten Problemen.",Fertiggerichte & Konserven>Gekühlte Nudeln & Teigwaren>Fertigteig,"WEICHWEIZENMEHL, Sauerteig (WEICHWEIZENMEHL, Trinkwasser, Bierhefe), Trinkwasser, natives Olivenöl extra, Reismehl, SOJAMEHL, Speisesalz, Brotbackmischung (Trockenbackhefe, WEICHWEIZENMEHL, getrockneter ROGGENSAUERTEIG), Bierhefe, WEIZENMALZMEHL","{'Energie': '284 kcal', 'Fett': '4,4 g', 'Fett, davon gesättigte Fettsäuren': '0,8 g', 'Kohlenhydrate': '50,2 g', 'Kohlenhydrate, davon Zucker': '1,4 g', 'Ballaststoffe': '4,8 g', 'Eiweiß': '9,85 g', 'Salz': '1,07 g'}",Kühl und trocken lagern.,https://img.rewe-static.de/3674132/34030425_digital-image.png
8322154,"REWE Regional Bartnelke aus dem Rheinland, ca. 47cm, 8 - 12 Stiele, 1 Bund",REWE Regional,,,https://shop.rewe.de/p/rewe-regional-bartnelke-aus-dem-rheinland-ca-47cm-8-12-stiele-1-bund/8322154,279.00,279.00,Euro,,"Artikelnummer 8322154,Unser Strauß wird aus den frischen Blüten der Saison zusammengestellt, wobei jeder Strauß ein einzigartiges Unikat darstellt. Die Fotos dienen lediglich als Beispiele, da jeder Blumenstrauß einzigartig ist und je nach Saison sowie Verfügbarkeit variieren kann. Verschiedene Farben im Bund.",Haus & Freizeit>Gartenzubehör>Blumen & Pflanzen,,,,https://img.rewe-static.de/8322154/29627329_digital-image.png
7857173,REWE Feine Welt Feta Lesbos 200g,REWE Feine Welt,200,g,https://shop.rewe.de/p/rewe-feine-welt-feta-lesbos-200g/7857173,289.00,289.00,Euro,Griechenland,"Artikelnummer 7857173,Feta aus 85 % Schaf- und 15 % Ziegenmilch von der griechischen Insel Lesbos, besonders cremig und mild im Geschmack. In einer wiederverschließbaren Frischhaltebox.","Käse, Eier & Molkerei>Käse & Käseersatz>Feta & Schafskäse","Zutaten: SCHAFMILCH, ZIEGENMILCH, Speisesalz, mikrobielles Lab, Starterkulturen.","{'Energie': '285 kcal', 'Fett': '24,2 g', 'Fett, davon gesättigte Fettsäuren': '16,5 g', 'Kohlenhydrate': '0,7 g', 'Kohlenhydrate, davon Zucker': '0,5 g', 'Eiweiß': '16 g', 'Salz': '2,3 g'}",Nach dem Öffnen innerhalb weniger Tage verzehren.,https://img.rewe-static.de/7857173/34306815_digital-image.png
8643941,REWE Feine Welt Burrata aus Apulien 250g,REWE Feine Welt,250,g,https://shop.rewe.de/p/rewe-feine-welt-burrata-aus-apulien-250g/8643941,189.00,189.00,Euro,Italien,"Artikelnummer 8643941,Trendartikel! Cremiger Mozzarella-Sahne-Kern, umhüllt von zartem Pastafilata-Käse, hergestellt in Apulien.","Käse, Eier & Molkerei>Käse & Käseersatz>Mozzarella","MILCH, SAHNE 48 %, Speisesalz, mikrobielles Lab, MILCHsäurekulturen, Säureregulator (MILCHsäure), Konservierungsstoff (Sorbinsäure).","{'Energie': '254 kcal', 'Fett': '23 g', 'Fett, davon gesättigte Fettsäuren': '16 g', 'Kohlenhydrate': '1,8 g', 'Kohlenhydrate, davon Zucker': '1,4 g', 'Ballaststoffe': '0 g', 'Eiweiß': '10 g', 'Salz': '0,37 g'}",,https://img.rewe-static.de/8643941/34631257_digital-image.png
5273552,De Cecco Fusilli Nr.34 500g,De Cecco,500,g,https://shop.rewe.de/p/de-cecco-fusilli-nr-34-500g/5273552,249.00,249.00,Euro,Italien,"Artikelnummer 5273552,Product ist zertifiziert,alle unsere Sicherheits- und Qualitätsgrundsätze einhält,De Cecco - Die Qualität unserer Pasta ist zertifiziert",Kochen & Backen>Nudeln>Spiralnudeln,Teigwaren aus HartWEIZENgrieß - kann SOJA und SENF enthalten.,"{'Energie': '351 kcal', 'Fett': '1,5 g', 'Fett, davon gesättigte Fettsäuren': '0,3 g', 'Kohlenhydrate': '69 g', 'Kohlenhydrate, davon Zucker': '3,4 g', 'Ballaststoffe': '2,9 g', 'Eiweiß': '14 g', 'Salz': '0 g'}","Vor Wärmequellen und Licht geschützt lagern, feuchte Umgebung vermeiden",https://img.rewe-static.de/5273552/8945720_digital-image.png
2927343,REWE Feine Welt Salame Milano 80g,REWE Feine Welt,80,g,https://shop.rewe.de/p/rewe-feine-welt-salame-milano-80g/2927343,349.00,349.00,Euro,Italien,"Artikelnummer 2927343,Nach althergebrachter lombardischer Tradition zubereitete Salami aus bestem norditalienischem Schweinefleisch, mit Salz, Pfeffer und Knoblauch mild gewürzt und mindestens 90 Tage gereift.",Fleisch & Fisch>Wurst & Aufschnitt>Salami & Paprikawurst,"Schweinefleisch, Speisesalz, Dextrose, Gewürze, natürliche Aromen, Antioxidationsmittel (Natriumascorbat), Konservierungsstoffe (Kaliumnitrat, Natriumnitrit), Reifekulturen. 100g Salami sind hergestellt aus 142g Schweinefleisch.","{'Energie': '371 kcal', 'Fett': '29 g', 'Fett, davon gesättigte Fettsäuren': '9,9 g', 'Kohlenhydrate': '0,5 g', 'Kohlenhydrate, davon Zucker': '0,5 g', 'Ballaststoffe': '0 g', 'Eiweiß': '27 g', 'Salz': '4 g'}",,https://img.rewe-static.de/2927343/25714788_digital-image.png
8486583,REWE Bio Pesto Verde vegan 130g,REWE Bio,130,g,https://shop.rewe.de/p/rewe-bio-pesto-verde-vegan-130g/8486583,249.00,249.00,Euro,Italien,Artikelnummer 8486583,Monats-Highlights>Baby & Kind>Leckeres für kleine Genießer>Schnelle Gerichte für Kids,"Basilikum* 60%, natives Olivenöl extra* 25%, CASHEWKERNE* 13%, Speisesalz, Zitronensaft*.","{'Energie': '332 kcal', 'Fett': '32,6 g', 'Fett, davon gesättigte Fettsäuren': '5,9 g', 'Kohlenhydrate': '4,2 g', 'Kohlenhydrate, davon Zucker': '1,1 g', 'Eiweiß': '3,6 g', 'Salz': '1,68 g'}",Nach dem Öffnen im Kühlschrank lagern und innerhalb weniger Tage verzehren.,https://img.rewe-static.de/8486583/32512097_digital-image.png
9952235,REWE Feine Welt Manchego Curado aus Schafmilch 175g,REWE Feine Welt,175,g,https://shop.rewe.de/p/rewe-feine-welt-manchego-curado-aus-schafmilch-175g/9952235,499.00,499.00,Euro,Spanien,Artikelnummer 9952235,"Käse, Eier & Molkerei>Käse & Käseersatz>Hartkäse","Zutaten: SCHAFMILCH, Säuerungskulturen, Speisesalz, mikrobielles Lab. ","{'Energie': '455 kcal', 'Fett': '38 g', 'Fett, davon gesättigte Fettsäuren': '26,2 g', 'Kohlenhydrate': '1,3 g', 'Kohlenhydrate, davon Zucker': '1,3 g', 'Ballaststoffe': '0 g', 'Eiweiß': '27 g', 'Salz': '1,9 g'}",,https://img.rewe-static.de/9952235/46844499_digital-image.png
7890168,Campofrio Serrano-Schinken 80g,Campofrio,80,g,https://shop.rewe.de/p/campofrio-serrano-schinken-80g/7890168,249.00,249.00,Euro,Spanien,Artikelnummer 7890168,Fleisch & Fisch>Wurst & Aufschnitt>Roher Schinken & Speck,"Schweinefleisch, Salz, Konservierungsstoffe (E-250, E-252).","{'Energie': '212 kcal', 'Fett': '10 g', 'Fett, davon gesättigte Fettsäuren': '3,8 g', 'Kohlenhydrate': '0,5 g', 'Kohlenhydrate, davon Zucker': '0,5 g', 'Eiweiß': '30 g', 'Salz': '5 g'}",Bei 0 °C bis +7 °C lagern.,https://img.rewe-static.de/7890168/6466630_digital-image.png
1424200,REWE Feine Welt Antipasti Variation Wurstaufschnitt 100g,REWE Feine Welt,100,g,https://shop.rewe.de/p/rewe-feine-welt-antipasti-variation-wurstaufschnitt-100g/1424200,549.00,549.00,Euro,,"Artikelnummer 1424200,Typisch italienische Antipasti: lange gereifter roher Schinken, zarte Scheiben von Coppa aus dem Halsmuskel sowie aromatisch-würzige Salami. Alles von norditalienischen Schweinen aus den Regionen Lombardei, Venetien, Emilia-Romagna und dem Piemont.",Fleisch & Fisch>Wurst & Aufschnitt>Roher Schinken & Speck,siehe Einzelsorten ,"{'Energie': '311 kcal', 'Fett': '22 g', 'Fett, davon gesättigte Fettsäuren': '8,6 g', 'Kohlenhydrate': '0,3 g', 'Kohlenhydrate, davon Zucker': '0 g', 'Ballaststoffe': '2 g', 'Eiweiß': '28 g', 'Salz': '4,6 g'}",,https://img.rewe-static.de/1424200/20480952_digital-image.png
8288229,REWE Feine Welt Salsiccia Classica 300g,REWE Feine Welt,300,g,https://shop.rewe.de/p/rewe-feine-welt-salsiccia-classica-300g/8288229,499.00,499.00,Euro,Italien,Artikelnummer 8288229,Fleisch & Fisch>Wurst & Aufschnitt>Brüh- & Bratwurst,"Schweinefleisch 94%, Speisesalz, Gewürze, natürliche Aromen, Antioxidationsmittel (Natriumascorbat), Säureregulator (Natriumacetate), Konservierungsstoff (Natriumnitrit, Kaliumnitrat), Reifekulturen, Schweinedarm.","{'Energie': '288 kcal', 'Fett': '24 g', 'Fett, davon gesättigte Fettsäuren': '10 g', 'Kohlenhydrate': '1 g', 'Kohlenhydrate, davon Zucker': '0,1 g', 'Ballaststoffe': '0 g', 'Eiweiß': '17 g', 'Salz': '3 g'}",,https://img.rewe-static.de/8288229/29275950_digital-image.png
6551025,Bertolli Originale Natives Olivenöl Extra 500ml,Bertolli,500,ml,https://shop.rewe.de/p/bertolli-originale-natives-olivenoel-extra-500ml/6551025,799.00,799.00,Euro,Italien,Artikelnummer 6551025,"Öle, Soßen & Gewürze>Öle>Olivenöl",,"{'Energie': '822 kcal', 'Fett': '91 g', 'Fett, davon gesättigte Fettsäuren': '14 g', 'Fett, davon einfach ungesättigte Fettsäuren': '70 g', 'Fett, davon mehrfach ungesättigte Fettsäuren': '7 g', 'Kohlenhydrate': '0 g', 'Kohlenhydrate, davon Zucker': '0 g', 'Eiweiß': '0 g', 'Salz': '0 g'}",Dunkel und idealerweise zwischen 15° C und 20° C aufbewahren.,https://img.rewe-static.de/6551025/33112554_digital-image.png
